UserID,Age,Gender,SweetLike,MentholLike,PodsPerWeek,SubscribeIntent,FlavourFamilies,PurchaseChannel
121,32,Male,4,1,9,1,Spice,Retail
122,46,Female,1,3,13,0,"Dessert,Beverage",Online
123,53,Male,4,5,6,1,Dessert,Online
124,30,Male,2,3,6,1,Beverage,Online
125,49,Female,5,5,9,1,Dessert,Online
126,24,Male,3,5,4,1,"Dessert,Tobacco,Beverage",Online
127,39,Male,4,3,6,1,Tobacco,Online
128,45,Male,4,2,4,1,"Beverage,Spice,Fruity",Online
129,19,Male,1,4,11,0,"Beverage,Tobacco",Online
130,23,Male,1,1,1,0,Dessert,Retail
131,45,Male,4,4,7,0,"Tobacco,Beverage",Retail
132,45,Male,2,1,14,0,"Menthol,Spice",Online
133,37,Male,3,1,10,0,"Menthol,Beverage",Retail
134,47,Female,1,5,11,0,Spice,Retail
135,28,Male,2,1,12,0,Spice,Retail
136,45,Male,5,1,6,1,Tobacco,Retail
137,42,Male,1,3,9,1,Beverage,Online
138,50,Male,2,4,7,1,Dessert,Retail
139,18,Female,2,3,13,1,Dessert,Online
140,44,Male,3,1,7,1,Menthol,Online
141,30,Male,3,5,2,1,Fruity,Retail
142,20,Female,5,3,12,0,Tobacco,Online
143,23,Female,2,3,11,0,Fruity,Online
144,25,Male,2,2,9,1,"Dessert,Spice,Beverage",Retail
145,44,Female,3,1,10,1,Tobacco,Retail
146,26,Female,1,5,9,1,"Dessert,Fruity",Retail
147,54,Male,1,3,6,0,Beverage,Retail
148,50,Female,4,3,13,0,"Menthol,Spice,Beverage",Online
149,41,Female,3,5,3,1,Beverage,Online
150,32,Male,4,1,1,1,"Beverage,Dessert,Tobacco",Retail
151,49,Male,3,2,4,0,"Dessert,Spice",Online
152,49,Male,5,3,14,0,Beverage,Retail
153,41,Female,2,2,14,1,"Menthol,Fruity,Tobacco",Online
154,29,Other,5,4,3,1,"Spice,Beverage",Online
155,19,Female,3,1,14,0,Fruity,Online
156,20,Male,2,4,12,1,"Fruity,Beverage",Retail
157,54,Female,1,4,1,0,"Menthol,Tobacco,Dessert",Online
158,34,Female,1,4,3,0,"Fruity,Beverage",Online
159,19,Male,4,1,14,1,Tobacco,Online
160,19,Male,3,1,14,0,"Beverage,Tobacco",Online
161,45,Female,3,5,4,1,"Dessert,Menthol",Online
162,40,Male,1,2,13,1,"Beverage,Spice,Dessert",Online
163,54,Female,5,2,13,1,"Dessert,Tobacco",Online
164,49,Male,2,5,14,0,Beverage,Online
165,50,Male,5,5,8,0,"Tobacco,Menthol,Dessert",Online
166,18,Male,5,4,9,0,Dessert,Retail
167,36,Male,1,5,3,1,Beverage,Retail
168,19,Female,1,3,6,1,"Beverage,Dessert",Online
169,43,Male,1,2,10,1,"Tobacco,Fruity",Online
170,49,Female,4,5,11,1,Fruity,Online
171,23,Male,5,3,5,1,"Fruity,Tobacco",Retail
172,49,Female,3,3,6,1,Dessert,Online
173,21,Male,2,3,4,0,"Spice,Fruity",Online
174,28,Female,4,3,10,0,"Spice,Tobacco,Menthol",Retail
175,34,Female,3,4,6,1,Beverage,Online
176,41,Male,5,3,7,0,Dessert,Retail
177,22,Male,1,4,9,0,Tobacco,Online
178,51,Female,5,4,10,1,"Fruity,Beverage,Dessert",Retail
179,23,Other,2,3,7,1,Dessert,Online
180,39,Male,4,2,6,0,Dessert,Retail
181,28,Female,4,3,1,1,"Beverage,Fruity",Retail
182,33,Female,2,3,2,1,"Tobacco,Spice",Online
183,50,Female,3,3,1,1,Tobacco,Online
184,26,Other,3,2,9,0,"Tobacco,Dessert",Online
185,23,Female,4,1,10,0,Fruity,Retail
186,33,Male,4,1,10,1,"Fruity,Menthol,Beverage",Retail
187,46,Male,1,4,9,1,Menthol,Online
188,20,Male,3,4,7,1,Dessert,Retail
189,37,Female,2,2,13,1,"Fruity,Spice",Online
190,53,Female,3,5,2,0,Beverage,Online
191,36,Male,1,1,6,0,"Beverage,Tobacco",Lounge
192,43,Female,4,4,11,1,Spice,Retail
193,20,Female,4,1,4,0,Spice,Online
194,36,Female,1,2,1,0,"Menthol,Spice",Retail
195,37,Male,2,2,1,1,"Beverage,Tobacco",Lounge
196,49,Male,4,5,12,0,"Menthol,Beverage",Retail
197,24,Male,5,5,5,0,Spice,Retail
198,50,Male,4,2,12,0,Beverage,Retail
199,35,Male,5,4,2,0,Menthol,Online
200,18,Male,1,1,4,0,Dessert,Retail
201,28,Male,1,3,1,1,"Fruity,Dessert",Online
202,45,Male,4,5,4,1,"Dessert,Tobacco,Fruity",Retail
203,42,Male,3,3,11,0,Spice,Online
204,40,Female,5,4,6,1,Tobacco,Retail
205,48,Male,2,5,10,0,Tobacco,Online
206,47,Female,4,3,4,1,Dessert,Online
207,52,Other,2,4,1,1,Tobacco,Online
208,24,Male,4,1,7,1,"Spice,Beverage,Menthol",Lounge
209,33,Male,3,4,14,1,"Beverage,Fruity",Lounge
210,43,Male,3,5,2,0,"Dessert,Tobacco,Menthol",Online
211,19,Female,3,2,9,0,"Fruity,Spice,Menthol",Lounge
212,18,Female,3,1,13,1,"Tobacco,Spice",Retail
213,29,Male,1,3,3,0,"Dessert,Tobacco",Retail
214,22,Male,1,5,8,0,Dessert,Online
215,54,Male,5,2,13,1,"Beverage,Dessert",Lounge
216,49,Male,2,4,8,1,"Dessert,Menthol,Fruity",Retail
217,26,Female,4,2,3,1,Beverage,Retail
218,52,Male,4,5,4,0,"Menthol,Fruity,Beverage",Retail
219,36,Female,1,5,2,1,Menthol,Retail
220,33,Male,4,2,4,0,"Menthol,Spice,Fruity",Retail
221,20,Other,1,4,11,0,"Menthol,Spice,Tobacco",Online
222,37,Male,5,2,11,1,"Spice,Dessert",Online
223,41,Male,2,5,11,0,"Menthol,Spice",Online
224,50,Female,5,5,14,0,"Menthol,Beverage",Online
225,41,Male,3,3,9,1,"Spice,Beverage,Fruity",Retail
226,28,Other,3,3,2,0,"Fruity,Beverage,Dessert",Retail
227,25,Female,3,1,12,0,"Beverage,Fruity",Retail
228,53,Female,5,5,12,0,"Dessert,Spice",Online
229,37,Female,4,3,13,0,"Menthol,Dessert",Online
230,52,Female,2,2,3,0,"Menthol,Spice,Dessert",Online
231,42,Female,3,4,11,1,"Menthol,Dessert",Online
232,52,Female,3,2,11,1,"Beverage,Dessert,Spice",Online
233,42,Female,3,4,4,0,"Spice,Tobacco",Retail
234,46,Male,2,3,5,1,Dessert,Online
235,35,Male,3,1,1,0,Beverage,Retail
236,35,Female,2,2,7,0,"Tobacco,Beverage",Online
237,19,Male,3,2,14,1,Dessert,Retail
238,52,Male,5,2,10,0,Fruity,Retail
239,33,Male,5,4,7,1,"Tobacco,Menthol",Lounge
240,53,Male,2,3,9,0,Fruity,Retail
241,50,Female,5,2,4,1,Menthol,Lounge
242,21,Female,2,2,14,0,"Beverage,Tobacco",Retail
243,50,Male,5,1,14,0,"Dessert,Fruity,Spice",Retail
244,31,Male,5,1,6,0,"Fruity,Dessert",Online
245,38,Female,2,3,11,1,"Beverage,Tobacco,Menthol",Online
246,37,Male,4,3,2,1,"Fruity,Menthol",Online
247,25,Female,5,5,12,1,Fruity,Retail
248,24,Male,3,1,12,0,"Dessert,Spice",Online
249,20,Male,4,5,14,0,"Tobacco,Fruity",Retail
250,34,Other,2,4,4,0,Menthol,Lounge
251,50,Male,4,5,2,1,Menthol,Online
252,29,Female,1,2,10,1,"Spice,Tobacco",Online
253,39,Female,1,5,5,0,Fruity,Lounge
254,39,Male,5,3,7,1,"Dessert,Beverage",Online
255,47,Female,5,4,13,0,Tobacco,Retail
256,25,Female,3,2,1,1,"Fruity,Beverage",Online
257,44,Male,4,5,10,1,"Fruity,Beverage",Retail
258,44,Female,1,4,10,0,Spice,Online
259,51,Female,5,4,7,0,Dessert,Retail
260,38,Female,4,2,10,1,"Tobacco,Dessert",Retail
261,47,Female,5,5,13,1,"Dessert,Spice,Menthol",Online
262,50,Male,5,4,6,1,"Spice,Menthol,Beverage",Online
263,45,Female,1,4,6,1,"Dessert,Beverage",Online
264,50,Female,1,1,12,0,"Dessert,Spice",Lounge
265,22,Female,5,4,8,1,Tobacco,Retail
266,36,Female,2,1,8,1,Beverage,Online
267,21,Female,5,5,6,1,Dessert,Online
268,52,Male,5,5,3,0,"Spice,Tobacco",Online
269,34,Female,3,5,5,0,Menthol,Retail
270,45,Male,3,3,2,0,Fruity,Retail
271,47,Female,3,5,14,0,"Fruity,Beverage",Online
272,46,Female,2,4,5,0,"Tobacco,Dessert",Retail
273,23,Male,2,2,14,0,Spice,Retail
274,52,Male,5,1,9,0,Tobacco,Lounge
275,54,Male,3,3,10,0,"Fruity,Dessert",Lounge
276,41,Male,2,5,1,1,"Dessert,Beverage",Retail
277,46,Female,1,5,10,0,"Dessert,Menthol",Retail
278,48,Female,5,2,5,0,Fruity,Online
279,52,Female,4,2,12,0,"Beverage,Menthol",Retail
280,50,Male,5,3,6,0,"Fruity,Spice,Dessert",Online
281,38,Female,4,1,14,1,Spice,Online
282,49,Male,3,5,11,0,"Fruity,Dessert,Beverage",Online
283,40,Male,4,3,7,1,Dessert,Retail
284,50,Female,3,4,9,1,Fruity,Online
285,20,Female,1,4,6,1,"Spice,Tobacco",Online
286,35,Male,4,3,5,1,Beverage,Online
287,42,Male,5,5,12,1,Tobacco,Online
288,48,Male,3,3,7,1,"Tobacco,Spice",Online
289,20,Male,5,5,13,0,"Spice,Fruity",Retail
290,41,Female,2,2,1,0,"Menthol,Dessert,Fruity",Retail
291,49,Male,3,3,11,1,"Tobacco,Beverage",Online
292,39,Male,4,5,14,0,Tobacco,Retail
293,40,Male,3,3,5,0,"Dessert,Beverage",Retail
294,19,Male,5,3,2,1,"Dessert,Fruity",Online
295,44,Male,1,5,4,1,"Spice,Dessert,Menthol",Retail
296,19,Male,3,5,7,0,"Menthol,Tobacco,Spice",Lounge
297,43,Male,4,1,5,1,"Beverage,Menthol,Fruity",Online
298,34,Male,2,3,12,0,"Beverage,Fruity",Online
299,50,Female,1,4,6,1,"Fruity,Dessert",Lounge
300,26,Male,2,3,2,0,Tobacco,Retail
301,46,Other,3,3,3,0,"Beverage,Tobacco,Menthol",Online
302,43,Male,5,5,7,1,Fruity,Retail
303,52,Female,5,3,11,0,Beverage,Online
304,42,Female,4,3,2,1,Spice,Retail
305,41,Female,5,4,12,0,"Dessert,Fruity",Online
306,30,Female,1,5,6,0,"Beverage,Spice",Online
307,24,Male,5,3,5,1,"Fruity,Menthol",Retail
308,53,Male,4,2,10,0,"Fruity,Spice,Menthol",Online
309,37,Male,3,1,1,0,"Spice,Fruity,Tobacco",Online
310,18,Female,3,4,12,0,Menthol,Retail
311,25,Male,5,3,11,1,Fruity,Retail
312,33,Male,2,2,10,1,"Dessert,Spice,Tobacco",Online
313,31,Female,3,3,11,1,"Dessert,Menthol,Spice",Retail
314,29,Female,5,3,4,0,"Dessert,Tobacco",Online
315,40,Female,4,5,11,0,"Dessert,Spice",Online
316,32,Female,5,5,2,0,Menthol,Online
317,45,Other,3,5,4,1,"Beverage,Spice,Fruity",Online
318,51,Male,4,2,1,0,"Tobacco,Dessert",Retail
319,19,Male,5,3,2,1,"Fruity,Menthol",Online
320,49,Male,1,1,13,0,Tobacco,Retail
321,40,Male,4,4,8,1,"Dessert,Tobacco,Spice",Online
322,39,Female,1,5,6,1,"Spice,Tobacco",Lounge
323,42,Male,2,5,2,1,Beverage,Retail
324,39,Female,4,3,12,0,"Dessert,Spice",Retail
325,39,Male,1,3,6,0,"Tobacco,Beverage",Online
326,23,Female,3,2,10,0,"Tobacco,Spice",Online
327,32,Female,3,2,9,0,"Menthol,Tobacco",Online
328,54,Male,2,5,7,0,"Beverage,Tobacco",Lounge
329,50,Male,4,3,9,1,"Dessert,Beverage,Tobacco",Online
330,25,Male,4,1,5,0,Spice,Retail
331,22,Male,4,4,7,1,Spice,Retail
332,21,Male,2,3,11,1,Fruity,Online
333,23,Male,4,3,14,0,"Spice,Dessert",Retail
334,49,Male,3,2,7,1,"Spice,Tobacco",Retail
335,47,Female,1,4,12,0,"Menthol,Fruity,Beverage",Retail
336,52,Female,3,5,12,0,"Menthol,Dessert",Online
337,33,Female,3,3,3,1,"Beverage,Spice",Online
338,30,Male,1,5,7,1,"Menthol,Dessert,Spice",Online
339,47,Female,3,3,1,0,Beverage,Retail
340,36,Male,2,5,9,0,"Tobacco,Fruity,Beverage",Retail
341,34,Male,1,4,10,1,"Dessert,Fruity",Online
342,36,Female,3,2,13,0,"Menthol,Tobacco",Lounge
343,45,Male,5,4,6,1,"Fruity,Tobacco",Online
344,43,Female,3,1,5,1,"Spice,Menthol",Retail
345,54,Female,2,2,7,1,Beverage,Lounge
346,43,Male,4,4,5,0,"Tobacco,Beverage",Retail
347,40,Male,3,1,10,0,"Spice,Tobacco",Retail
348,26,Male,4,3,5,0,"Fruity,Tobacco,Spice",Online
349,29,Female,5,3,11,0,"Spice,Menthol",Online
350,18,Male,3,5,10,0,"Spice,Beverage,Menthol",Retail
351,18,Male,1,2,11,0,"Menthol,Tobacco",Online
352,51,Male,4,3,7,1,"Fruity,Beverage",Online
353,49,Female,5,2,10,1,"Tobacco,Dessert",Retail
354,42,Male,1,3,7,0,"Tobacco,Dessert",Online
355,18,Male,1,5,13,0,"Spice,Dessert,Menthol",Lounge
356,33,Female,1,4,11,0,"Beverage,Dessert",Retail
357,22,Female,1,5,3,0,"Tobacco,Beverage",Retail
358,39,Male,3,1,3,1,Beverage,Retail
359,46,Male,3,3,10,1,"Beverage,Menthol",Retail
360,20,Male,3,1,12,1,Menthol,Retail
361,29,Female,5,1,13,1,"Dessert,Beverage",Retail
362,43,Male,5,2,3,1,Menthol,Online
363,33,Male,5,3,6,1,Spice,Retail
364,54,Female,2,1,12,0,Dessert,Retail
365,39,Female,5,4,6,1,Tobacco,Online
366,46,Male,3,1,13,1,Spice,Online
367,31,Female,3,4,13,0,"Fruity,Tobacco,Dessert",Retail
368,45,Male,2,2,3,0,"Beverage,Spice",Online
369,22,Male,2,1,3,0,"Beverage,Dessert",Lounge
370,47,Male,5,5,8,1,"Beverage,Menthol",Lounge
371,22,Other,4,2,8,0,Dessert,Online
372,29,Male,2,4,7,0,"Beverage,Fruity,Spice",Retail
373,33,Male,1,2,10,0,Dessert,Online
374,43,Male,3,1,4,1,Dessert,Retail
375,43,Female,1,3,4,0,"Spice,Beverage",Online
376,38,Male,3,3,3,1,Menthol,Retail
377,53,Male,3,4,5,1,"Beverage,Menthol",Online
378,50,Male,2,4,3,1,Spice,Online
379,47,Male,2,3,13,1,"Beverage,Menthol",Online
380,54,Female,1,4,8,0,"Dessert,Spice",Online
381,40,Female,3,2,7,0,Fruity,Retail
382,27,Male,1,5,13,1,"Dessert,Beverage",Online
383,22,Male,4,5,3,0,Dessert,Online
384,53,Female,1,2,9,0,"Dessert,Beverage",Retail
385,51,Male,5,5,12,1,Spice,Retail
386,48,Male,1,1,14,0,"Beverage,Spice",Retail
387,27,Other,5,2,13,1,"Menthol,Tobacco",Lounge
388,36,Female,5,4,5,0,Spice,Online
389,49,Male,5,2,9,1,"Beverage,Menthol,Dessert",Online
390,18,Male,4,3,7,1,"Fruity,Tobacco,Spice",Retail
391,22,Male,1,4,7,1,"Tobacco,Menthol",Retail
392,21,Male,1,3,6,0,"Tobacco,Spice",Lounge
393,33,Male,4,4,2,1,Fruity,Online
394,41,Male,3,5,9,1,"Beverage,Fruity",Online
395,33,Male,2,2,6,0,Fruity,Online
396,19,Female,1,1,8,0,Spice,Retail
397,45,Female,2,4,1,1,"Spice,Tobacco,Fruity",Retail
398,49,Male,4,4,5,1,"Tobacco,Fruity",Online
399,44,Male,3,3,12,0,"Beverage,Fruity",Online
400,37,Female,3,5,1,1,Fruity,Retail
401,41,Male,3,3,10,0,"Spice,Menthol",Retail
402,29,Male,4,3,11,0,Beverage,Online
403,52,Other,5,5,14,1,Spice,Retail
404,50,Male,5,1,8,1,Spice,Retail
405,50,Female,2,3,8,1,"Spice,Fruity",Retail
406,54,Other,5,3,1,1,"Fruity,Dessert",Retail
407,29,Male,5,4,9,0,Tobacco,Online
408,20,Male,3,5,2,0,"Beverage,Tobacco",Online
409,18,Male,3,2,12,0,Fruity,Retail
410,50,Female,2,1,9,1,"Tobacco,Fruity",Online
411,27,Female,1,1,1,1,"Fruity,Beverage,Dessert",Retail
412,46,Female,2,5,12,0,"Beverage,Dessert",Retail
413,30,Male,2,4,10,0,"Menthol,Fruity,Spice",Retail
414,29,Female,4,4,14,0,"Fruity,Dessert,Spice",Online
415,48,Female,4,5,14,1,"Menthol,Dessert",Online
416,19,Female,2,4,9,0,"Fruity,Beverage",Retail
417,52,Female,2,1,4,0,"Fruity,Beverage,Menthol",Online
418,40,Female,2,1,9,1,Spice,Retail
419,34,Female,5,2,7,1,Tobacco,Retail
420,43,Female,4,5,11,1,"Fruity,Menthol,Beverage",Online
421,25,Male,2,3,6,1,"Spice,Menthol",Retail
422,46,Male,3,3,5,0,Tobacco,Online
423,43,Female,3,2,11,1,"Fruity,Beverage",Online
424,27,Male,5,2,9,1,"Dessert,Fruity",Lounge
425,43,Female,5,4,2,1,"Spice,Dessert",Lounge
426,51,Other,1,2,14,0,"Fruity,Menthol",Online
427,24,Female,1,2,13,0,"Tobacco,Menthol",Lounge
428,21,Male,1,3,11,0,"Beverage,Tobacco",Online
429,28,Male,5,4,14,0,"Fruity,Spice",Online
430,46,Male,5,2,12,1,"Beverage,Dessert",Online
431,53,Female,5,2,2,0,"Tobacco,Fruity",Lounge
432,42,Female,3,4,11,0,"Beverage,Dessert",Online
433,38,Female,5,5,12,0,Beverage,Retail
434,53,Male,3,4,9,0,"Menthol,Spice",Retail
435,27,Female,1,3,12,0,"Spice,Menthol,Tobacco",Retail
436,54,Female,1,5,3,0,Tobacco,Online
437,26,Male,1,1,8,0,Beverage,Online
438,41,Female,2,4,11,1,"Beverage,Fruity",Online
439,52,Male,2,3,9,1,"Dessert,Beverage,Spice",Retail
440,52,Male,4,5,8,0,Tobacco,Retail
441,53,Female,4,4,4,1,Spice,Retail
442,35,Male,4,2,12,1,Dessert,Retail
443,49,Female,2,4,1,1,"Menthol,Tobacco",Online
444,41,Female,2,1,4,0,Beverage,Retail
445,40,Female,4,4,14,0,Spice,Retail
446,49,Male,4,5,9,0,"Dessert,Beverage",Online
447,54,Male,5,5,2,0,"Menthol,Dessert,Spice",Online
448,29,Female,4,4,3,0,"Dessert,Beverage",Retail
449,30,Male,5,5,10,1,Menthol,Retail
450,40,Male,3,2,8,0,"Beverage,Tobacco",Online
451,42,Male,2,4,6,0,"Tobacco,Menthol,Fruity",Retail
452,52,Female,4,2,8,1,"Fruity,Spice",Online
453,47,Male,2,2,7,0,"Tobacco,Dessert,Menthol",Online
454,34,Female,2,3,14,1,"Dessert,Beverage,Spice",Retail
455,37,Female,2,4,13,1,Fruity,Retail
456,42,Male,3,5,13,1,"Menthol,Spice",Retail
457,39,Male,1,2,5,1,Spice,Online
458,30,Female,4,3,9,0,"Menthol,Spice",Online
459,36,Female,1,4,4,1,Dessert,Online
460,53,Female,1,4,6,1,Dessert,Online
461,29,Female,1,1,2,1,"Tobacco,Beverage,Dessert",Online
462,36,Male,2,1,2,1,Dessert,Online
463,29,Male,5,2,2,1,"Spice,Fruity,Dessert",Online
464,26,Male,2,1,10,0,Menthol,Online
465,24,Male,2,2,7,1,Tobacco,Retail
466,45,Male,1,5,13,0,"Tobacco,Fruity,Spice",Online
467,31,Male,2,2,2,1,"Beverage,Menthol",Online
468,48,Male,1,1,12,1,"Spice,Dessert",Retail
469,36,Female,5,5,13,0,Beverage,Online
470,33,Female,4,1,2,0,"Dessert,Fruity",Retail
471,22,Male,1,2,9,0,"Dessert,Spice",Online
472,52,Female,5,3,7,1,"Beverage,Spice",Online
473,29,Male,4,4,11,1,"Fruity,Beverage",Online
474,42,Female,3,1,3,1,"Spice,Fruity,Dessert",Online
475,38,Male,1,2,3,1,"Spice,Menthol",Retail
476,53,Female,1,5,7,1,"Beverage,Dessert,Menthol",Lounge
477,40,Female,3,1,5,0,"Beverage,Menthol",Online
478,33,Male,3,1,10,0,"Fruity,Tobacco",Online
479,31,Male,1,4,14,1,Menthol,Retail
480,48,Male,3,2,14,0,Spice,Online
481,22,Male,2,3,6,0,"Tobacco,Menthol,Beverage",Retail
482,52,Male,4,5,13,0,Spice,Online
483,40,Female,4,2,12,0,Menthol,Lounge
484,46,Male,4,5,8,1,Spice,Online
485,28,Female,2,1,9,0,Menthol,Online
486,35,Female,3,4,1,1,"Tobacco,Fruity,Beverage",Retail
487,29,Male,5,4,3,0,"Dessert,Spice,Menthol",Retail
488,26,Female,3,3,11,0,"Tobacco,Spice",Online
489,27,Male,1,4,7,0,Tobacco,Retail
490,34,Female,4,1,6,1,"Menthol,Dessert",Retail
491,24,Male,3,3,7,1,"Spice,Tobacco",Online
492,30,Other,5,2,8,1,"Beverage,Fruity,Dessert",Retail
